nom	annee	n
Sir Douglas Mawson	1900	0
Sir Douglas Mawson	1910	0
Sir Douglas Mawson	1920	0
Sir Douglas Mawson	1930	3
Sir Douglas Mawson	1940	0
Sir Douglas Mawson	1950	0
Sir Douglas Mawson	1960	0
Sir Douglas Mawson	1970	0
Sir Douglas Mawson	1980	0
la mission hydrographique du Lapérouse	1760	0
la mission hydrographique du Lapérouse	1770	0
la mission hydrographique du Lapérouse	1780	0
la mission hydrographique du Lapérouse	1790	0
la mission hydrographique du Lapérouse	1800	0
la mission hydrographique du Lapérouse	1810	0
la mission hydrographique du Lapérouse	1820	0
la mission hydrographique du Lapérouse	1830	0
la mission hydrographique du Lapérouse	1840	0
la mission hydrographique du Lapérouse	1850	0
la mission hydrographique du Lapérouse	1860	0
la mission hydrographique du Lapérouse	1870	0
la mission hydrographique du Lapérouse	1880	0
la mission hydrographique du Lapérouse	1890	0
la mission hydrographique du Lapérouse	1900	0
la mission hydrographique du Lapérouse	1910	0
la mission hydrographique du Lapérouse	1920	0
la mission hydrographique du Lapérouse	1930	0
la mission hydrographique du Lapérouse	1940	5
la mission hydrographique du Lapérouse	1950	0
la mission hydrographique du Lapérouse	1960	1
la mission hydrographique du Lapérouse	1970	0
la mission hydrographique du Lapérouse	1980	0
l'expédition de l'Antarès	1760	0
l'expédition de l'Antarès	1770	0
l'expédition de l'Antarès	1780	0
l'expédition de l'Antarès	1790	0
l'expédition de l'Antarès	1800	0
l'expédition de l'Antarès	1810	0
l'expédition de l'Antarès	1820	0
l'expédition de l'Antarès	1830	0
l'expédition de l'Antarès	1840	0
l'expédition de l'Antarès	1850	0
l'expédition de l'Antarès	1860	0
l'expédition de l'Antarès	1870	0
l'expédition de l'Antarès	1880	0
l'expédition de l'Antarès	1890	0
l'expédition de l'Antarès	1900	0
l'expédition de l'Antarès	1910	0
l'expédition de l'Antarès	1920	0
l'expédition de l'Antarès	1930	35
l'expédition de l'Antarès	1940	0
l'expédition de l'Antarès	1950	0
l'expédition de l'Antarès	1960	0
l'expédition de l'Antarès	1970	0
l'expédition de l'Antarès	1980	0
Jacques Nougier	1760	0
Jacques Nougier	1770	0
Jacques Nougier	1780	0
Jacques Nougier	1790	0
Jacques Nougier	1800	0
Jacques Nougier	1810	0
Jacques Nougier	1820	0
Jacques Nougier	1830	0
Jacques Nougier	1840	0
Jacques Nougier	1850	0
Jacques Nougier	1860	0
Jacques Nougier	1870	0
Jacques Nougier	1880	0
Jacques Nougier	1890	0
Jacques Nougier	1900	0
Jacques Nougier	1910	0
Jacques Nougier	1920	0
Jacques Nougier	1930	0
Jacques Nougier	1940	0
Jacques Nougier	1950	0
Jacques Nougier	1960	38
Jacques Nougier	1970	0
Jacques Nougier	1980	0
la reconnaissance dirigée par Mouzon	1760	0
la reconnaissance dirigée par Mouzon	1770	0
la reconnaissance dirigée par Mouzon	1780	0
la reconnaissance dirigée par Mouzon	1790	0
la reconnaissance dirigée par Mouzon	1800	0
la reconnaissance dirigée par Mouzon	1810	0
la reconnaissance dirigée par Mouzon	1820	0
la reconnaissance dirigée par Mouzon	1830	0
la reconnaissance dirigée par Mouzon	1840	0
la reconnaissance dirigée par Mouzon	1850	0
la reconnaissance dirigée par Mouzon	1860	0
la reconnaissance dirigée par Mouzon	1870	0
la reconnaissance dirigée par Mouzon	1880	0
la reconnaissance dirigée par Mouzon	1890	0
la reconnaissance dirigée par Mouzon	1900	0
la reconnaissance dirigée par Mouzon	1910	0
la reconnaissance dirigée par Mouzon	1920	0
la reconnaissance dirigée par Mouzon	1930	0
la reconnaissance dirigée par Mouzon	1940	0
la reconnaissance dirigée par Mouzon	1950	1
la reconnaissance dirigée par Mouzon	1960	0
la reconnaissance dirigée par Mouzon	1970	0
la reconnaissance dirigée par Mouzon	1980	0
le capitaine James Cook	1760	0
le capitaine James Cook	1770	16
le capitaine James Cook	1780	0
le capitaine James Cook	1790	0
le capitaine James Cook	1800	0
le capitaine James Cook	1810	0
le capitaine James Cook	1820	0
le capitaine James Cook	1830	0
le capitaine James Cook	1840	0
le capitaine James Cook	1850	0
le capitaine James Cook	1860	0
le capitaine James Cook	1870	0
le capitaine James Cook	1880	0
le capitaine James Cook	1890	0
le capitaine James Cook	1900	0
le capitaine James Cook	1910	0
le capitaine James Cook	1920	0
le capitaine James Cook	1930	0
le capitaine James Cook	1940	0
le capitaine James Cook	1950	0
le capitaine James Cook	1960	0
le capitaine James Cook	1970	0
le capitaine James Cook	1980	0
la reconnaissance Mouzon	1760	0
la reconnaissance Mouzon	1770	0
la reconnaissance Mouzon	1780	0
la reconnaissance Mouzon	1790	0
la reconnaissance Mouzon	1800	0
la reconnaissance Mouzon	1810	0
la reconnaissance Mouzon	1820	0
la reconnaissance Mouzon	1830	0
la reconnaissance Mouzon	1840	0
la reconnaissance Mouzon	1850	0
la reconnaissance Mouzon	1860	0
la reconnaissance Mouzon	1870	0
la reconnaissance Mouzon	1880	0
la reconnaissance Mouzon	1890	0
la reconnaissance Mouzon	1900	0
la reconnaissance Mouzon	1910	0
la reconnaissance Mouzon	1920	0
la reconnaissance Mouzon	1930	0
la reconnaissance Mouzon	1940	0
la reconnaissance Mouzon	1950	3
la reconnaissance Mouzon	1960	0
la reconnaissance Mouzon	1970	0
la reconnaissance Mouzon	1980	0
les hydrographes du Lapérouse	1760	0
les hydrographes du Lapérouse	1770	0
les hydrographes du Lapérouse	1780	0
les hydrographes du Lapérouse	1790	0
les hydrographes du Lapérouse	1800	0
les hydrographes du Lapérouse	1810	0
les hydrographes du Lapérouse	1820	0
les hydrographes du Lapérouse	1830	0
les hydrographes du Lapérouse	1840	0
les hydrographes du Lapérouse	1850	0
les hydrographes du Lapérouse	1860	0
les hydrographes du Lapérouse	1870	0
les hydrographes du Lapérouse	1880	0
les hydrographes du Lapérouse	1890	0
les hydrographes du Lapérouse	1900	0
les hydrographes du Lapérouse	1910	0
les hydrographes du Lapérouse	1920	0
les hydrographes du Lapérouse	1930	0
les hydrographes du Lapérouse	1940	0
les hydrographes du Lapérouse	1950	3
les hydrographes du Lapérouse	1960	0
les hydrographes du Lapérouse	1970	0
les hydrographes du Lapérouse	1980	0
l'expédition de la Gazelle	1760	0
l'expédition de la Gazelle	1770	0
l'expédition de la Gazelle	1780	0
l'expédition de la Gazelle	1790	0
l'expédition de la Gazelle	1800	0
l'expédition de la Gazelle	1810	0
l'expédition de la Gazelle	1820	0
l'expédition de la Gazelle	1830	0
l'expédition de la Gazelle	1840	0
l'expédition de la Gazelle	1850	0
l'expédition de la Gazelle	1860	0
l'expédition de la Gazelle	1870	21
l'expédition de la Gazelle	1880	0
l'expédition de la Gazelle	1890	0
l'expédition de la Gazelle	1900	0
l'expédition de la Gazelle	1910	0
l'expédition de la Gazelle	1920	0
l'expédition de la Gazelle	1930	0
l'expédition de la Gazelle	1940	0
l'expédition de la Gazelle	1950	0
l'expédition de la Gazelle	1960	0
l'expédition de la Gazelle	1970	0
l'expédition de la Gazelle	1980	0
Polian et Rens (reconnaissance)	1760	0
Polian et Rens (reconnaissance)	1770	0
Polian et Rens (reconnaissance)	1780	0
Polian et Rens (reconnaissance)	1790	0
Polian et Rens (reconnaissance)	1800	0
Polian et Rens (reconnaissance)	1810	0
Polian et Rens (reconnaissance)	1820	0
Polian et Rens (reconnaissance)	1830	0
Polian et Rens (reconnaissance)	1840	0
Polian et Rens (reconnaissance)	1850	0
Polian et Rens (reconnaissance)	1860	0
Polian et Rens (reconnaissance)	1870	0
Polian et Rens (reconnaissance)	1880	0
Polian et Rens (reconnaissance)	1890	0
Polian et Rens (reconnaissance)	1900	0
